Network: Continuum
CX/bCX Model: 5740
CX/bCX Firmware Version: 1100052
CX/bCX IP Address: 10.167.152.121
CX/bCX Enode ID: 21

Line	Level	Time Stamp	Error Code	TCB Addr	Prg Cntr	Data1	Data2
2	E	08/07/2019 00:24:57.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
3	E	08/07/2019 00:24:58.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
5	E	08/07/2019 00:29:57.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
6	E	08/07/2019 00:29:57.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
7	E	08/07/2019 00:29:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
8	E	08/07/2019 00:29:58.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
10	E	08/07/2019 00:34:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
11	E	08/07/2019 00:34:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
12	E	08/07/2019 00:34:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
13	E	08/07/2019 00:34:58.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
15	E	08/07/2019 00:39:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
16	E	08/07/2019 00:39:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
17	E	08/07/2019 00:39:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
18	E	08/07/2019 00:39:58.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
20	E	08/07/2019 00:44:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
21	E	08/07/2019 00:44:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
22	E	08/07/2019 00:44:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
23	E	08/07/2019 00:44:58.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
25	E	08/07/2019 00:49:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
26	E	08/07/2019 00:49:58.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
27	E	08/07/2019 00:49:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
28	E	08/07/2019 00:49:59.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
30	E	08/07/2019 00:59:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
31	E	08/07/2019 00:59:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
32	E	08/07/2019 00:59:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
33	E	08/07/2019 00:59:59.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
35	E	08/07/2019 01:04:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
36	E	08/07/2019 01:04:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
37	E	08/07/2019 01:04:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
38	E	08/07/2019 01:05:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
40	E	08/07/2019 01:09:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
41	E	08/07/2019 01:09:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
42	E	08/07/2019 01:10:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
43	E	08/07/2019 01:10:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
45	E	08/07/2019 01:14:59.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
46	E	08/07/2019 01:15:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
47	E	08/07/2019 01:15:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
48	E	08/07/2019 01:15:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
50	E	08/07/2019 01:20:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
51	E	08/07/2019 01:20:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
52	E	08/07/2019 01:20:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
53	E	08/07/2019 01:20:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
55	E	08/07/2019 01:25:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
56	E	08/07/2019 01:25:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
57	E	08/07/2019 01:25:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
58	E	08/07/2019 01:25:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
60	E	08/07/2019 01:30:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
61	E	08/07/2019 01:30:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
62	E	08/07/2019 01:30:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
63	E	08/07/2019 01:30:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
65	E	08/07/2019 01:35:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
66	E	08/07/2019 01:35:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
67	E	08/07/2019 01:35:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
68	E	08/07/2019 01:35:01.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
70	E	08/07/2019 01:40:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
71	E	08/07/2019 01:40:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
72	E	08/07/2019 01:40:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
73	E	08/07/2019 01:40:01.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
75	E	08/07/2019 01:45:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
76	E	08/07/2019 01:45:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
77	E	08/07/2019 01:45:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
78	E	08/07/2019 01:45:01.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
80	E	08/07/2019 01:50:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
81	E	08/07/2019 01:50:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
82	E	08/07/2019 01:50:01.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
83	E	08/07/2019 01:50:01.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
85	E	08/07/2019 01:55:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
86	E	08/07/2019 01:55:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
87	E	08/07/2019 01:55:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
88	E	08/07/2019 01:55:02.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
90	E	08/07/2019 02:00:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
91	E	08/07/2019 02:00:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
92	E	08/07/2019 02:00:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
93	E	08/07/2019 02:00:02.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
95	E	08/07/2019 02:05:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
96	E	08/07/2019 02:05:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
97	E	08/07/2019 02:05:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
98	E	08/07/2019 02:05:02.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
100	E	08/07/2019 02:10:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
101	E	08/07/2019 02:10:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
102	E	08/07/2019 02:10:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
103	E	08/07/2019 02:10:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
105	E	08/07/2019 02:15:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
106	E	08/07/2019 02:15:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
107	E	08/07/2019 02:15:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
108	E	08/07/2019 02:15:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
110	E	08/07/2019 02:20:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
111	E	08/07/2019 02:20:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
112	E	08/07/2019 02:20:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
113	E	08/07/2019 02:20:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
115	E	08/07/2019 02:25:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
116	E	08/07/2019 02:25:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
117	E	08/07/2019 02:25:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
118	E	08/07/2019 02:25:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
120	E	08/07/2019 02:30:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
121	E	08/07/2019 02:30:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
122	E	08/07/2019 02:30:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
123	E	08/07/2019 02:30:04.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
124	E	08/07/2019 02:32:00.00 	0x00001c0c	0x0821be00	0x01921484	0x00000803	0x0000031e
126	E	08/07/2019 02:32:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
127	E	08/07/2019 02:32:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
128	E	08/07/2019 02:32:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
129	E	08/07/2019 02:32:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
131	E	08/07/2019 02:35:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
132	E	08/07/2019 02:35:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
133	E	08/07/2019 02:35:02.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
134	E	08/07/2019 02:35:02.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
136	E	08/07/2019 02:45:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
137	E	08/07/2019 02:45:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
138	E	08/07/2019 02:45:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
139	E	08/07/2019 02:45:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
141	E	08/07/2019 02:50:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
142	E	08/07/2019 02:50:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
143	E	08/07/2019 02:50:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
144	E	08/07/2019 02:50:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
146	E	08/07/2019 02:55:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
147	E	08/07/2019 02:55:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
148	E	08/07/2019 02:55:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
149	E	08/07/2019 02:55:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
151	E	08/07/2019 03:00:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
152	E	08/07/2019 03:00:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
153	E	08/07/2019 03:00:03.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
154	E	08/07/2019 03:00:03.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
156	E	08/07/2019 03:05:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
157	E	08/07/2019 03:05:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
158	E	08/07/2019 03:05:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
159	E	08/07/2019 03:05:04.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
161	E	08/07/2019 03:10:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
162	E	08/07/2019 03:10:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
163	E	08/07/2019 03:10:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
164	E	08/07/2019 03:10:04.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
166	E	08/07/2019 03:20:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
167	E	08/07/2019 03:20:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
168	E	08/07/2019 03:20:04.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
169	E	08/07/2019 03:20:05.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
171	E	08/07/2019 03:25:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
172	E	08/07/2019 03:25:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
173	E	08/07/2019 03:25:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
174	E	08/07/2019 03:25:05.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
176	E	08/07/2019 03:30:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
177	E	08/07/2019 03:30:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
178	E	08/07/2019 03:30:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
179	E	08/07/2019 03:30:05.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
181	E	08/07/2019 03:35:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
182	E	08/07/2019 03:35:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
183	E	08/07/2019 03:35:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
184	E	08/07/2019 03:35:05.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
185	E	08/07/2019 03:38:00.00 	0x00001c0c	0x0821be00	0x01921484	0x00000803	0x0000049a
187	E	08/07/2019 03:38:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
188	E	08/07/2019 03:38:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
189	E	08/07/2019 03:38:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
190	E	08/07/2019 03:38:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
192	E	08/07/2019 03:40:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
193	E	08/07/2019 03:40:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
194	E	08/07/2019 03:40:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
195	E	08/07/2019 03:40:06.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
197	E	08/07/2019 03:45:05.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
198	E	08/07/2019 03:45:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
199	E	08/07/2019 03:45:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
200	E	08/07/2019 03:45:06.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
202	E	08/07/2019 03:55:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
203	E	08/07/2019 03:55:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
204	E	08/07/2019 03:55:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
205	E	08/07/2019 03:55:06.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
207	E	08/07/2019 04:00:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
208	E	08/07/2019 04:00:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
209	E	08/07/2019 04:00:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
210	E	08/07/2019 04:00:07.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
212	E	08/07/2019 04:05:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
213	E	08/07/2019 04:05:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
214	E	08/07/2019 04:05:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
215	E	08/07/2019 04:05:07.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
217	E	08/07/2019 04:10:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
218	E	08/07/2019 04:10:06.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
219	E	08/07/2019 04:10:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
220	E	08/07/2019 04:10:07.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
222	E	08/07/2019 04:15:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
223	E	08/07/2019 04:15:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
224	E	08/07/2019 04:15:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
225	E	08/07/2019 04:15:07.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
227	E	08/07/2019 04:20:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
228	E	08/07/2019 04:20:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
229	E	08/07/2019 04:20:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
230	E	08/07/2019 04:20:07.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
232	E	08/07/2019 04:30:08.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
233	E	08/07/2019 04:30:08.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
234	E	08/07/2019 04:30:08.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
235	E	08/07/2019 04:30:08.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
237	E	08/07/2019 04:35:07.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
238	E	08/07/2019 04:35:08.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
239	E	08/07/2019 04:35:08.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
240	E	08/07/2019 04:35:08.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
242	E	08/07/2019 05:01:56.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
243	E	08/07/2019 05:01:56.00 	0x00000803	0x0824b600	0x01922e56	0x00001b81	0x018765e4
244	E	08/07/2019 05:01:56.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
245	E	08/07/2019 05:01:56.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
247	E	08/07/2019 05:07:37.00 	0x00000803	0x0824b600	0x01922e56	0x00001b81	0x018765e4
248	E	08/07/2019 05:07:37.00 	0x00000803	0x0824b600	0x01922e56	0x00001b81	0x018765e4
249	E	08/07/2019 05:07:37.00 	0x00000803	0x0824b600	0x01922e56	0x00001b81	0x018765e4
250	E	08/07/2019 05:07:38.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
252	E	08/07/2019 06:18:11.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
253	E	08/07/2019 06:18:12.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
254	E	08/07/2019 06:18:12.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
255	E	08/07/2019 06:18:12.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
257	E	08/07/2019 06:35:13.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
258	E	08/07/2019 06:35:13.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
259	E	08/07/2019 06:35:13.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
260	E	08/07/2019 06:35:14.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
261	E	08/07/2019 06:38:00.00 	0x00001c0c	0x0821be00	0x01921484	0x00000803	0x00000464
263	E	08/07/2019 06:38:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
264	E	08/07/2019 06:38:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
265	E	08/07/2019 06:38:00.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
266	E	08/07/2019 06:38:00.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
268	E	08/07/2019 06:40:14.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
269	E	08/07/2019 06:40:14.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
270	E	08/07/2019 06:40:14.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
271	E	08/07/2019 06:40:15.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
273	E	08/07/2019 06:45:14.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
274	E	08/07/2019 06:45:14.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
275	E	08/07/2019 06:45:14.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
276	E	08/07/2019 06:45:15.00 	0x00001c0b	0x0824b600	0x01922e56	0x00000803	0x018765e4
278	E	08/07/2019 06:50:15.00 	0x00000803	0x0824b600	0x01922e56	0x00001b82	0x018765e4
