Date/Time,N1W1_TempNaw,N1W1_TempWyw,N1W1_WilgNaw,N1W1_WilgWyw,N1W1_TNawSP,N1W1_TZew,N1W1_WilgZew,N1W1_ChillerSter,N1W1_DowilzSter,N1W1_WymObrSter
2019-08-22 07:26:00, 20.5,-,-, 51.9,-,-,-,-,-,-
2019-08-22 07:16:00, 19.9, 24.9, 68.2, 51.8, 20.0, 17.7, 65.4,  0,  0,  0
2019-08-22 07:06:00, 19.6, 24.9, 69.5, 51.9, 20.0, 17.3, 66.3,  0,  0,  0
2019-08-22 06:56:00, 19.5, 24.8, 69.8, 52.0, 20.0, 17.0, 67.0,  0,  0,  0
2019-08-22 06:46:00, 19.7, 24.8, 69.9, 51.9, 20.0, 16.9, 67.4,  0,  0,  0
2019-08-22 06:36:00, 19.7, 24.8, 71.7, 52.3, 20.0, 16.8, 67.9,  0,  0,  6
2019-08-22 06:26:00, 19.9, 24.8, 70.7, 52.3, 20.0, 16.8, 68.5,  0,  0,  6
2019-08-22 06:16:00, 19.4, 24.8, 71.8, 52.6, 20.0, 16.7, 69.3,  0,  0,  7
2019-08-22 06:06:00, 19.1, 24.8, 73.1, 53.0, 20.0, 16.6, 70.4,  0,  0,  7
2019-08-22 05:56:00, 19.2, 24.8, 73.3, 52.8, 20.0, 16.6, 71.0,  0,  0,  6
2019-08-22 05:46:00, 19.1, 24.9, 72.6, 52.9, 20.0, 16.6, 71.0,  0,  0,  6
2019-08-22 05:36:00, 19.3, 24.9, 73.2, 53.2, 20.0, 16.5, 71.0,  0,  0,  0
2019-08-22 05:26:00, 19.3, 24.9, 72.0, 52.9, 20.0, 16.5, 71.2,  0,  0,  0
2019-08-22 05:16:00, 19.2, 24.8, 73.0, 52.9, 20.0, 16.5, 71.3,  0,  0,  0
2019-08-22 05:06:00, 19.1, 24.8, 74.0, 53.2, 20.0, 16.5, 71.4,  0,  0,  7
2019-08-22 04:56:00, 19.6, 24.8, 74.9, 53.3, 20.0, 16.4, 71.4,  0,  0, 14
2019-08-22 04:46:00, 19.8, 24.8, 75.2, 53.4, 20.0, 16.4, 71.4,  0,  0, 14
2019-08-22 04:36:00, 20.1, 24.9, 75.5, 53.5, 20.0, 16.3, 71.4,  0,  0, 16
2019-08-22 04:26:00, 20.4, 24.9, 73.5, 53.5, 20.0, 16.3, 71.4,  0,  0, 15
2019-08-22 04:16:00, 20.6, 24.9, 72.0, 53.7, 20.0, 16.3, 71.4,  0,  0, 16
2019-08-22 04:06:00, 20.6, 24.9, 70.2, 53.4, 20.0, 16.2, 71.4,  0,  0,  2
2019-08-22 03:56:00, 19.9, 24.8, 72.4, 53.3, 20.0, 16.2, 71.4,  0,  0,  0
2019-08-22 03:46:00, 19.2, 24.8, 73.8, 53.3, 20.0, 16.2, 71.4,  0,  0,  2
2019-08-22 03:36:00, 20.4, 24.8, 73.0, 53.7, 20.0, 16.2, 71.4,  0,  0, 19
2019-08-22 03:26:00, 20.3, 24.8, 71.0, 53.6, 20.0, 16.2, 71.4,  0,  0,  3
2019-08-22 03:16:00, 20.3, 24.8, 71.9, 53.8, 20.0, 16.3, 71.4,  0,  0, 19
2019-08-22 03:06:00, 20.5, 24.8, 71.6, 53.8, 20.0, 16.4, 71.4,  0,  0, 10
2019-08-22 02:56:00, 20.4, 24.8, 70.1, 54.2, 20.0, 16.5, 71.4,  0,  0,  2
2019-08-22 02:46:00, 19.1, 24.8, 74.7, 54.0, 20.0, 16.7, 71.4,  0,  0,  0
2019-08-22 02:36:00, 19.3, 24.8, 77.0, 54.1, 20.0, 16.8, 71.4,  0,  0, 13
2019-08-22 02:26:00, 19.6, 24.8, 77.4, 54.2, 20.0, 16.8, 71.4,  0,  0, 13
2019-08-22 02:16:00, 19.7, 24.8, 77.3, 54.3, 20.0, 16.9, 71.4,  0,  0, 12
2019-08-22 02:06:00, 19.6, 24.8, 77.2, 54.1, 20.0, 17.0, 71.4,  0,  0, 12
2019-08-22 01:56:00, 19.2, 24.8, 77.0, 54.2, 20.0, 17.0, 71.4,  0,  0,  7
2019-08-22 01:46:00, 19.3, 24.8, 76.4, 54.1, 20.0, 17.1, 71.3,  0,  0,  0
2019-08-22 01:36:00, 19.4, 24.7, 74.9, 54.0, 20.0, 17.2, 71.1,  0,  0,  0
2019-08-22 01:26:00, 19.4, 24.7, 74.9, 54.2, 20.0, 17.2, 70.7,  0,  0,  0
2019-08-22 01:16:00, 19.7, 24.7, 74.1, 54.1, 20.0, 17.3, 70.2,  0,  0,  0
2019-08-22 01:06:00, 19.7, 24.7, 73.1, 54.3, 20.0, 17.4, 69.7,  0,  0,  0
2019-08-22 00:56:00, 19.7, 24.7, 73.8, 54.1, 20.0, 17.5, 69.3,  0,  0,  0
2019-08-22 00:46:00, 19.6, 24.7, 75.1, 54.0, 20.0, 17.6, 69.0,  0,  0,  0
2019-08-22 00:36:00, 20.5, 24.7, 74.7, 54.1, 20.0, 17.7, 68.7,  0,  0,  5
2019-08-22 00:26:00, 20.3, 24.7, 71.7, 54.2, 20.0, 17.8, 68.3,  0,  0,  0
2019-08-22 00:16:00, 19.8, 24.6, 73.4, 54.1, 20.0, 17.8, 68.0,  0,  0,  0
2019-08-22 00:06:00, 19.5, 24.6, 75.3, 54.5, 20.0, 17.9, 67.7,  0,  0,  0
2019-08-21 23:56:00, 19.5, 24.6, 75.5, 54.6, 20.0, 18.0, 67.4,  0,  0,  0
2019-08-21 23:46:00, 19.7, 24.5, 75.2, 54.7, 20.0, 18.0, 67.1,  0,  0,  6
2019-08-21 23:36:00, 21.0, 24.5, 71.9, 54.7, 20.0, 18.1, 67.0,  0,  0,  0
2019-08-21 23:26:00, 19.9, 24.5, 73.2, 54.6, 20.0, 18.2, 66.8,  0,  0,  0
2019-08-21 23:16:00, 19.5, 24.5, 74.8, 54.8, 20.0, 18.2, 66.6,  0,  0,  0
2019-08-21 23:06:00, 19.5, 24.5, 75.2, 54.6, 20.0, 18.2, 66.1,  0,  0,  4
2019-08-21 22:56:00, 20.8, 24.5, 72.0, 54.5, 20.0, 18.3, 65.8,  0,  0,  3
2019-08-21 22:46:00, 19.9, 24.5, 73.4, 54.6, 20.0, 18.4, 65.5,  0,  0,  0
2019-08-21 22:36:00, 20.5, 24.6, 74.0, 54.2, 20.0, 18.4, 65.4,  0,  0,  6
2019-08-21 22:26:00, 20.8, 24.6, 70.7, 54.4, 20.0, 18.5, 65.3,  0,  0,  1
2019-08-21 22:16:00, 19.8, 24.6, 73.1, 54.8, 20.0, 18.6, 65.3,  0,  0,  0
2019-08-21 22:06:00, 19.6, 24.6, 74.3, 54.8, 20.0, 18.5, 65.3,  0,  0,  0
2019-08-21 21:56:00, 20.4, 24.6, 72.9, 54.7, 20.0, 18.5, 65.3,  0,  0,  5
2019-08-21 21:46:00, 20.0, 24.6, 72.7, 54.9, 20.0, 18.6, 65.3,  0,  0,  0
2019-08-21 21:36:00, 19.4, 24.6, 76.4, 54.8, 20.0, 18.7, 65.4,  0,  0,  1
2019-08-21 21:26:00, 21.0, 24.7, 72.3, 54.6, 20.0, 18.7, 65.9,  0,  0,  2
2019-08-21 21:16:00, 19.9, 24.7, 73.0, 55.0, 20.0, 18.7, 66.3,  0,  0,  0
2019-08-21 21:06:00, 19.7, 24.7, 75.4, 54.9, 20.0, 18.8, 66.7,  0,  0,  0
2019-08-21 20:56:00, 20.1, 24.7, 77.0, 54.9, 20.0, 18.8, 67.0,  0,  0,  0
2019-08-21 20:46:00, 20.0, 24.8, 75.4, 54.9, 20.0, 18.8, 66.9,  0,  0,  0
2019-08-21 20:36:00, 20.3, 24.9, 73.6, 54.3, 20.0, 18.9, 66.8,  0,  0,  0
2019-08-21 20:26:00, 21.0, 25.1, 72.2, 54.2, 20.0, 18.9, 66.5,  0,  0,  0
2019-08-21 20:16:00, 20.3, 25.2, 72.9, 54.1, 20.0, 18.9, 66.3,  0,  0,  1
2019-08-21 20:06:00, 19.8, 25.2, 75.6, 54.4, 20.0, 19.0, 66.1,  0,  0,  0
2019-08-21 19:56:00, 20.0, 25.2, 75.3, 54.2, 20.0, 19.0, 65.8,  0,  0,  0
2019-08-21 19:46:00, 20.0, 25.2, 74.9, 54.3, 20.0, 19.1, 65.6,  0,  0,  0
2019-08-21 19:36:00, 21.7, 25.1, 68.8, 54.3, 20.0, 19.1, 65.2,  0,  0, 32
2019-08-21 19:26:00, 19.0, 25.2, 93.4, 54.2, 20.0, 19.1, 64.9,  0,  0,100
2019-08-21 19:16:00, 20.4, 25.2, 72.8, 54.6, 20.0, 19.1, 64.5,  0,  0,  0
2019-08-21 19:06:00, 21.7, 25.2, 69.6, 54.9, 20.0, 19.2, 64.2,  0,  0, 57
2019-08-21 18:56:00, 16.9, 25.2, 87.2, 54.7, 20.0, 19.3, 64.3,  0,  0, 27
2019-08-21 18:46:00, 20.4, 25.2, 73.1, 54.5, 20.0, 19.4, 64.9,  0,  0,  0
2019-08-21 18:36:00, 21.5, 25.2, 72.3, 54.4, 20.0, 19.4, 65.1,  0,  0, 93
2019-08-21 18:26:00, 15.3, 25.1, 67.1, 54.7, 20.0, 19.4, 64.7,  0,  0,  0
2019-08-21 18:16:00, 20.5, 25.1, 70.8, 54.8, 20.0, 19.4, 64.2,  0,  0,  0
2019-08-21 18:06:00, 21.1, 25.1, 73.8, 54.8, 20.0, 19.5, 63.7,  0,  0,100
2019-08-21 17:56:00, 19.1, 25.1, 60.9, 54.6, 20.0, 19.6, 63.2,  0,  0,  0
2019-08-21 17:46:00, 21.9, 25.1, 68.8, 54.8, 20.0, 19.7, 62.6,  0,  0, 24
2019-08-21 17:36:00, 18.3, 25.1, 94.5, 54.9, 20.0, 19.9, 62.1,  0,  0, 70
2019-08-21 17:26:00, 21.6, 25.0, 69.6, 55.0, 20.0, 20.3, 61.6,  0,  0,  0
2019-08-21 17:16:00, 19.2, 25.0, 91.8, 54.7, 20.0, 20.5, 61.2,  0,  0,100
2019-08-21 17:06:00, 21.4, 25.0, 66.9, 54.8, 20.0, 20.6, 61.0,  0,  0,  0
2019-08-21 16:56:00, 19.3, 25.0, 92.2, 54.8, 20.0, 20.6, 60.9,  0,  0,100
2019-08-21 16:46:00, 21.2, 25.0, 67.8, 54.9, 20.0, 20.6, 60.9,  0,  0,  0
2019-08-21 16:36:00, 19.6, 25.0, 88.5, 54.8, 20.0, 20.6, 60.7,  0,  0,100
2019-08-21 16:26:00, 21.3, 25.0, 68.0, 54.8, 20.0, 20.7, 60.2,  0,  0,  0
2019-08-21 16:16:00, 19.7, 24.9, 87.0, 54.7, 20.0, 20.7, 60.0,  0,  0,100
2019-08-21 16:06:00, 21.5, 24.8, 65.7, 55.1, 20.0, 20.8, 59.9,  0,  0,  0
2019-08-21 15:56:00, 18.9, 24.8, 93.0, 55.6, 20.0, 20.7, 59.6,  0,  0,100
2019-08-21 15:46:00, 22.3, 24.8, 64.9, 55.5, 20.0, 20.5, 58.8,  0,  0,  0
2019-08-21 15:36:00, 17.2, 24.8, 89.2, 55.5, 20.0, 20.4, 58.7,  0,  0, 46
2019-08-21 15:26:00, 22.0, 24.8, 68.0, 55.7, 20.0, 20.5, 59.3,  0,  0, 63
2019-08-21 15:16:00, 16.5, 24.7, 62.5, 56.0, 20.0, 20.5, 60.0,  0,  0,  0
2019-08-21 15:06:00, 21.6, 24.7, 71.8, 56.1, 20.0, 20.4, 60.8,  0,  0, 97
2019-08-21 14:56:00, 19.4, 24.7, 58.7, 56.6, 20.0, 20.2, 61.7,  0,  0,  0
2019-08-21 14:46:00, 21.4, 24.7, 74.0, 56.4, 20.0, 19.9, 62.8,  0,  0,100
2019-08-21 14:36:00, 19.7, 24.7, 59.1, 56.2, 20.0, 19.6, 63.7,  0,  0,  0
2019-08-21 14:26:00, 21.6, 24.7, 69.4, 56.8, 20.0, 19.3, 64.4,  0,  0, 69
2019-08-21 14:16:00, 17.4, 24.7, 92.0, 56.8, 20.0, 19.2, 64.5,  0,  0, 42
2019-08-21 14:06:00, 20.3, 24.7, 72.1, 56.8, 20.0, 19.4, 63.7,  0,  0,  0
2019-08-21 13:56:00, 21.2, 24.7, 74.1, 57.7, 20.0, 19.5, 63.3,  0,  0, 91
2019-08-21 13:46:00, 18.7, 24.7, 59.1, 56.9, 20.0, 19.6, 63.5,  0,  0,  0
2019-08-21 13:36:00, 21.7, 24.7, 70.5, 57.4, 20.0, 19.7, 63.5,  0,  0, 59
2019-08-21 13:26:00, 16.7, 24.8, 85.2, 57.9, 20.0, 19.8, 63.2,  0,  0, 22
2019-08-21 13:16:00, 22.0, 24.8, 68.5, 57.5, 20.0, 19.9, 63.3,  0,  0, 11
2019-08-21 13:06:00, 18.5, 24.7, 95.4, 58.0, 20.0, 20.0, 64.0,  0,  0, 66
2019-08-21 12:56:00, 21.8, 24.7, 69.1, 58.2, 20.0, 20.2, 63.9,  0,  0,  0
2019-08-21 12:46:00, 18.9, 24.8, 94.9, 58.2, 20.0, 20.5, 62.6,  0,  0, 98
